Country Name,2016,2017,2018,2019,2020,2021,2022,2023,,,,,Country Name,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,83,72,84,95,125,119,126,137,,,,,Argentina,5357,6997,6751,6492,5729,6396,7613,7801
Afghanistan,176,170,249,214,375,,,,,,,,Germany,173670,188558,207013,208244,209394,252931,245047,264682
Angola,36,43,42,24,17,36,26,36,,,,,United Kingdom,267532,283165,321979,314295,326426,390859,386534,449155
Anguilla,7,55,9,8,9,9,8,8,,,,,United States,455020,498283,508032,537130,546748,619389,659263,680457
Albania,398,,,782,,,954,1065,,,,,South Africa,5274,5928,6510,5885,5304,6604,7215,7834
United Arab Emirates,27915,29740,30402,30989,33689,39299,46713,49700,,,,,,,,,,,,,
Argentina,5357,6997,6751,6492,5729,6396,7613,7801,,,,,,,,,,,,,
Armenia,235,284,316,346,407,458,1007,1345,,,,,,,,,,,,,
Antigua and Barbuda,62,55,59,65,71,79,80,87,,,,,,,,,,,,,
Australia,14065,15531,16491,17567,17618,21103,20953,21759,,,,,,,,,,,,,
Austria,23289,25744,29354,30153,29949,34820,35331,35604,,,,,,,,,,,,,
Azerbaijan,352,431,532,634,489,815,1110,1439,,,,,,,,,,,,,
Burundi,9,10,12,13,19,25,25,29,,,,,,,,,,,,,
Belgium,64545,70313,74454,74627,75852,86692,84707,92739,,,,,,,,,,,,,
Benin,43,22,130,89,53,41,40,,,,,,,,,,,,,,
Burkina Faso,135,158,181,175,177,187,165,,,,,,,,,,,,,,
Bangladesh,1199,1214,1571,1608,1443,1740,2121,2043,,,,,,,,,,,,,
Bulgaria,2905,2825,3477,4218,4373,5680,6497,7667,,,,,,,,,,,,,
Bahrain,6521,5452,6293,6320,6172,6325,6835,6870,,,,,,,,,,,,,
"Bahamas, The",33,24,43,217,217,242,229,233,,,,,,,,,,,,,
Bosnia and Herzegovina,196,215,274,298,377,473,471,518,,,,,,,,,,,,,
Belarus,1723,2160,2675,3561,3921,4584,3849,3512,,,,,,,,,,,,,
Belize,71,67,70,82,93,160,185,169,,,,,,,,,,,,,
Bermuda,693,708,804,777,761,815,839,863,,,,,,,,,,,,,
Bolivia,120,120,123,98,70,64,63,76,,,,,,,,,,,,,
Brazil,16748,17209,17601,18037,15945,19116,23513,25731,,,,,,,,,,,,,
Barbados,119,169,67,88,80,,,,,,,,,,,,,,,,
Brunei Darussalam,8,4,4,5,11,12,15,39,,,,,,,,,,,,,
Bhutan,6,7,6,9,11,14,16,18,,,,,,,,,,,,,
Botswana,163,218,227,163,204,205,208,231,,,,,,,,,,,,,
Central African Republic,7,6,8,,2,3,,,,,,,,,,,,,,,
Canada,48823,52253,60076,66568,71333,80493,81293,83157,,,,,,,,,,,,,
Switzerland,89103,88930,96723,94028,89012,102964,103934,115353,,,,,,,,,,,,,
Chile,2353,2247,2438,2463,2293,2487,3030,3346,,,,,,,,,,,,,
China,91510,100239,129525,140765,151509,191288,207007,216265,,,,,,,,,,,,,
